iter	Passed	Remaining
0	147	147526
1	152	76093
2	160	53181
3	165	41208
4	169	33669
5	192	31918
6	194	27621
7	223	27659
8	229	25225
9	293	29051
10	296	26667
11	300	24728
12	304	23131
13	306	21594
14	323	21211
15	324	19986
16	327	18936
17	337	18417
18	339	17534
19	361	17691
20	375	17499
21	378	16805
22	383	16306
23	385	15695
24	395	15439
25	398	14945
26	412	14853
27	423	14685
28	435	14579
29	439	14223
30	447	13977
31	461	13948
32	476	13949
33	481	13668
34	483	13323
35	491	13155
36	493	12852
37	510	12931
38	514	12671
39	516	12386
40	529	12390
41	544	12419
42	555	12365
43	566	12316
44	568	12067
45	573	11899
46	590	11976
47	602	11939
48	609	11829
49	612	11646
50	615	11446
51	617	11263
52	627	11218
53	631	11070
54	635	10915
55	645	10888
56	648	10732
57	651	10575
58	660	10528
59	662	10374
60	679	10455
61	692	10471
62	694	10330
63	697	10199
64	701	10089
65	713	10090
66	714	9953
67	717	9834
68	719	9714
69	736	9780
70	749	9812
71	751	9690
72	766	9736
73	768	9618
74	770	9497
75	772	9387
76	776	9307
77	778	9200
78	789	9204
79	791	9103
80	799	9073
81	801	8974
82	812	8972
83	815	8893
84	817	8799
85	830	8821
86	832	8740
87	836	8671
88	838	8582
89	850	8602
90	909	9082
91	913	9014
92	915	8930
93	922	8893
94	942	8983
95	948	8928
96	950	8845
97	952	8768
98	954	8688
99	956	8610
100	969	8629
101	978	8616
102	1011	8812
103	1043	8989
104	1045	8914
105	1065	8983
106	1075	8979
107	1092	9020
108	1094	8943
109	1096	8874
110	1118	8961
111	1133	8988
112	1135	8914
113	1137	8838
114	1139	8769
115	1141	8700
116	1154	8713
117	1158	8659
118	1165	8629
119	1180	8656
120	1187	8624
121	1195	8602
122	1204	8587
123	1213	8574
124	1231	8623
125	1237	8585
126	1243	8545
127	1250	8515
128	1263	8528
129	1270	8503
130	1277	8475
131	1279	8414
132	1289	8405
133	1297	8384
134	1299	8324
135	1312	8335
136	1318	8305
137	1320	8250
138	1324	8204
139	1335	8201
140	1346	8203
141	1359	8213
142	1361	8162
143	1367	8127
144	1373	8100
145	1386	8110
146	1394	8093
147	1399	8057
148	1403	8016
149	1412	8004
150	1416	7962
151	1419	7917
152	1420	7866
153	1423	7818
154	1424	7767
155	1426	7719
156	1434	7703
157	1442	7686
158	1444	7639
159	1447	7597
160	1449	7553
161	1463	7570
162	1474	7572
163	1485	7573
164	1508	7634
165	1510	7590
166	1512	7545
167	1516	7508
168	1518	7465
169	1520	7421
170	1521	7377
171	1523	7335
172	1539	7361
173	1543	7325
174	1544	7283
175	1558	7295
176	1567	7288
177	1573	7267
178	1576	7232
179	1600	7291
180	1607	7274
181	1631	7332
182	1633	7291
183	1635	7251
184	1659	7308
185	1660	7266
186	1662	7225
187	1663	7185
188	1669	7165
189	1692	7214
190	1706	7226
191	1715	7217
192	1730	7235
193	1732	7199
194	1734	7162
195	1736	7125
196	1748	7125
197	1767	7159
198	1769	7122
199	1770	7083
200	1787	7107
201	1809	7149
202	1811	7111
203	1814	7081
204	1819	7054
205	1822	7023
206	1824	6990
207	1826	6955
208	1828	6922
209	1843	6933
210	1845	6899
211	1871	6956
212	1876	6933
213	1879	6901
214	1885	6882
215	1893	6872
216	1896	6842
217	1898	6809
218	1906	6798
219	1907	6761
220	1908	6726
221	1910	6695
222	1912	6662
223	1923	6664
224	1925	6633
225	1941	6650
226	1956	6664
227	1959	6633
228	1960	6601
229	1979	6626
230	2004	6671
231	2008	6648
232	2019	6648
233	2031	6649
234	2034	6623
235	2041	6608
236	2043	6578
237	2044	6546
238	2047	6520
239	2049	6490
240	2050	6458
241	2052	6429
242	2054	6399
243	2055	6369
244	2057	6339
245	2059	6311
246	2060	6282
247	2063	6258
248	2066	6231
249	2067	6203
250	2069	6176
251	2071	6147
252	2073	6121
253	2074	6093
254	2076	6067
255	2077	6038
256	2080	6013
257	2081	5985
258	2083	5960
259	2085	5935
260	2087	5910
261	2089	5886
262	2091	5861
263	2094	5838
264	2096	5813
265	2098	5789
266	2100	5766
267	2101	5739
268	2103	5716
269	2105	5692
270	2107	5669
271	2109	5645
272	2111	5622
273	2112	5596
274	2114	5573
275	2116	5551
276	2118	5529
277	2119	5505
278	2122	5484
279	2124	5462
280	2125	5438
281	2126	5414
282	2128	5392
283	2130	5371
284	2131	5348
285	2133	5326
286	2136	5306
287	2137	5285
288	2139	5263
289	2141	5242
290	2143	5221
291	2144	5200
292	2146	5180
293	2148	5159
294	2149	5137
295	2151	5117
296	2152	5096
297	2154	5075
298	2156	5055
299	2158	5035
300	2159	5015
301	2161	4996
302	2163	4977
303	2165	4957
304	2167	4938
305	2169	4919
306	2170	4900
307	217309	2316	5155
310	2318	5136
311	2326	5130
312	2328	5109
313	2334	5100
314	2342	5093
315	2348	5082
316	2355	5074
